Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
2;Waldburgstraße;Waldburgstraße;de:08111:2;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";81,82,86,N10;30081_,30082_,30086_,33010_;4;30,33;9,107399378;48,7254586
5;Fauststraße;Fauststraße;de:08111:5;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Stadtbahn";U1,N10;20001_,33010_;2;20,33;9,114780916;48,73189003
6;Vaihingen Viadukt;Vaihingen Viadukt;de:08111:6;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;20001_;1;20;9,118916959;48,73339655
8;Engelboldstraße;Engelboldstraße;de:08111:8;8111000;Stuttgart;Stuttgart;S;20;"Stadtbahn;Nachtbus";U1,N10;20001_,33010_;2;20,33;9,128062473;48,7374333
13;Südheimer Platz;Südheimer Platz;de:08111:13;8111000;Stuttgart;Stuttgart;S;10;"Stadtbahn;Seilbahn;Nachtbus";U1,U9,U34,20,N1;20001_,20009_,20034_,21020_,33001_;5;20,21,33;9,143479924;48,75664984
15;Bihlplatz;Bihlplatz;de:08111:15;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U9,U34;20001_,20009_,20034_;3;20;9,151418363;48,75977799
25;Neckartor;Neckartor;de:08111:25;8111000;Stuttgart;Stuttgart;S;10;"Stadtbahn;Nachtbus";U1,U2,U4,U9,U14,N4,N6;20001_,20002_,20004_,20009_,20014_,33004_,33006_;7;20,33;9,189981937;48,78605037
26;Stöckach;Stöckach;de:08111:26;8111000;Stuttgart;Stuttgart;S;10;"Stadtbahn;Nachtbus";U1,U2,U4,U9,U14,N4,N6;20001_,20002_,20004_,20009_,20014_,33004_,33006_;7;20,33;9,195151337;48,78909911
27;Metzstraße;Metzstraße;de:08111:27;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U1,U2,U14;20001_,20002_,20014_;3;20;9,200471179;48,79217433
28;Mineralbäder;Mineralbäder;de:08111:28;8111000;Stuttgart;Stuttgart;S;10,2;Stadtbahn;U1,U2,U14;20001_,20002_,20014_;3;20;9,205730513;48,79693098
30;Mercedesstraße;Mercedesstraße;de:08111:30;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1,U2;20001_,20002_;2;20;9,211827826;48,80003126
32;Uff-Kirchhof;Uff-Kirchhof;de:08111:32;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Stadtbahn";U1,U13,N6;20001_,20013_,33006_;3;20,33;9,225884224;48,80499524
33;Augsburger Platz;Augsburger Platz;de:08111:33;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Stadtbahn";U1,N6;20001_,33006_;2;20,33;9,230544311;48,80593019
34;Nürnberger Straße;Nürnberger Straße;de:08111:34;8111000;Stuttgart;Stuttgart;S;20;"S-Bahn;R-Bahn;Nachtbus;Stadtbahn";S2,S3,R2,R3,U1,N6;10002_,10003_,11002_,11003_,20001_,33006_;6;10,11,20,33;9,234576905;48,80656049
35;Antwerpener Straße;Antwerpener Straße;de:08111:35;8111000;Stuttgart;Stuttgart;S;20;"Stadtbahn;Nachtbus";U1,N6;20001_,33006_;2;20,33;9,243257993;48,80843084
36;Beskidenstraße;Beskidenstraße;de:08111:36;8111000;Stuttgart;Stuttgart;S;20;"Stadtbahn;Nachtbus";U1,N6;20001_,33006_;2;20,33;9,253790688;48,81017057
37;Höhenstraße;Fellbach Höhenstraße;de:08119:37;8119020;Fellbach;Fellbach;WN;20,32;"Nachtbus;Stadtbahn";U1,N6;20001_,33006_;2;20,33;9,261518171;48,81168196
38;Esslinger Straße;Fellbach Esslinger Straße;de:08119:38;8119020;Fellbach;Fellbach;WN;20,32;"Bus;Stadtbahn";U1,211,212;20001_,31211_,31212_;3;20,31;9,269348958;48,81205955
39;Schwabenlandhalle;Fellbach Schwabenlandhalle;de:08119:39;8119020;Fellbach;Fellbach;WN;20,32;"Bus;Stadtbahn";U1,207,211,212;20001_,31207_,31211_,31212_;4;20,31;9,270529687;48,80882853
43;Heslach Vogelrain;Heslach Vogelrain;de:08111:43;8111000;Stuttgart;Stuttgart;S;10,2;"Bus;Nachtbus;Stadtbahn";U1,U9,92,N1;20001_,20009_,30092_,33001_;4;20,30,33;9,138221637;48,75354492
55;Berliner Platz (Hohe Straße);Berliner Platz (Hohe Straße);de:08111:55;8111000;Stuttgart;Stuttgart;S;10;"Stadtbahn;Bus;Nachtbus";U2,U4,U14,U34,43,N2;20002_,20004_,20014_,20034_,30043_,33002_;6;20,30,33;9,168288719;48,77746052
76;Karl-Olga-Krankenhaus;Karl-Olga-Krankenhaus;de:08111:76;8111000;Stuttgart;Stuttgart;S;10;"Stadtbahn;Nachtbus";U4,U9,N6;20004_,20009_,33006_;3;20,33;9,201752146;48,78919562
77;Bergfriedhof;Bergfriedhof;de:08111:77;8111000;Stuttgart;Stuttgart;S;10;"Stadtbahn;Nachtbus";U4,U9,N6;20004_,20009_,33006_;3;20,33;9,206133666;48,78904396
78;Ostheim Leo-Vetter-Bad;Ostheim Leo-Vetter-Bad;de:08111:78;8111000;Stuttgart;Stuttgart;S;10;"Stadtbahn;Bus";U4,U9,45;20004_,20009_,30045_;3;20,3;9,211016042;48,78502451
79;Gaisburg;Gaisburg;de:08111:79;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U4,U9;20004_,20009_;2;20;9,215773707;48,78382869
80;Wangener-/Landhausstraße;Wangener-/Landhausstraße;de:08111:80;8111000;Stuttgart;Stuttgart;S;10,2;"Stadtbahn;Nachtbus";U4,U9,N6,N7;20004_,20009_,33006_,33007_;4;20,33;9,222680054;48,78239472
81;Brendle (Großmarkt);Brendle (Großmarkt);de:08111:81;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Stadtbahn";U4,U9,N6,N7;20004_,20009_,33006_,33007_;4;20,33;9,226744785;48,78154149
82;Im Degen;Im Degen;de:08111:82;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Stadtbahn";U4,U9,N6,N7;20004_,20009_,33006_,33007_;4;20,33;9,23330098;48,77809329
83;Inselstraße;Inselstraße;de:08111:83;8111000;Stuttgart;Stuttgart;S;20;"Stadtbahn;Nachtbus";U4,U9,N7;20004_,20009_,33007_;3;20,33;9,237453238;48,77571979
84;Wasenstraße;Wasenstraße;de:08111:84;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U4,U9,U13;20004_,20009_,20013_;3;20;9,243740749;48,77608431
86;Großglocknerstraße;Großglocknerstraße;de:08111:86;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Bus";60,61,N6,N7;30060_,30061_,33006_,33007_;4;30,33;9,252704902;48,77840298
87;Neckarhalde;Neckarhalde;de:08111:87;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Bus";61,N7;30061_,33007_;2;30,33;9,259977093;48,77439415
89;Ebniseestraße;Ebniseestraße;de:08111:89;8111000;Stuttgart;Stuttgart;S;20,31;"Bus;Nachtbus";61,N7;30061_,33007_;2;30,33;9,264527267;48,76779235
90;Bergstaffelstraße;Bergstaffelstraße;de:08111:90;8111000;Stuttgart;Stuttgart;S;20,31;"Nachtbus;Bus";61,N7;30061_,33007_;2;30,33;9,265849486;48,76573004
94;Wollinstraße;Wollinstraße;de:08111:94;8111000;Stuttgart;Stuttgart;S;20,34,36;"Bus;Nachtbus";E,52,99,612,N4;30015a,30052_,30099_,31612_,31612q,33004_;6;30,31,33;9,147144136;48,83739643
95;Neuwirtshauskreuzung;Neuwirtshauskreuzung;de:08111:95;8111000;Stuttgart;Stuttgart;S;20,34,36;"Bus;Nachtbus";E,52,99,N4;30015a,30052_,30099_,33004_;4;30,33;9,141990022;48,8404603
96;Niebuhrweg;Niebuhrweg;de:08111:96;8111000;Stuttgart;Stuttgart;S;20,34;"Bus;Nachtbus";E,52,99,N4;30015a,30052_,30099_,33004_;4;30,33;9,147511832;48,84198202
97;Marco-Polo-Weg;Marco-Polo-Weg;de:08111:97;8111000;Stuttgart;Stuttgart;S;20,34;"Bus;Nachtbus";E,52,99,N4;30015a,30052_,30099_,33004_;4;30,33;9,153305873;48,84331428
100;Stammheim;Stammheim;de:08111:100;8111000;Stuttgart;Stuttgart;S;20,34;"Bus;Stadtbahn";U15,412,508;20015_,31412_,31508_,31508q;4;20,31;9,156120091;48,8501536
102;Korntaler Straße;Korntaler Straße;de:08111:102;8111000;Stuttgart;Stuttgart;S;20,34;"Stadtbahn;Nachtbus;Bus";U15,52,99,508,N4;20015_,30052_,30099_,31508_,31508q,33004_;6;20,30,31,33;9,157063126;48,84672627
103;Heutingsheimer Straße;Heutingsheimer Straße;de:08111:103;8111000;Stuttgart;Stuttgart;S;20,34;"Stadtbahn;Nachtbus;Bus";U15,E,N4;20015_,30015a,33004_;3;20,30,33;9,159352235;48,84249675
104;Wimpfener Straße;Wimpfener Straße;de:08111:104;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Stadtbahn";U15,N4;20015_,33004_;2;20,33;9,161041516;48,83825004
105;Kornwestheimer Straße;Kornwestheimer Straße;de:08111:105;8111000;Stuttgart;Stuttgart;S;20,34;Bus;412;31412_;1;31;9,166832501;48,85094785
106;Zahn-Nopper-Straße;Zahn-Nopper-Straße;de:08111:106;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";99,508,N4;30099_,31508_,31508q,33004_;4;30,31,33;9,164714534;48,83257969
107;Kirchtalstraße;Kirchtalstraße;de:08111:107;8111000;Stuttgart;Stuttgart;S;20;"Stadtbahn;Nachtbus;Bus";U15,401,N4;20015_,31401_,33004_;3;20,31,33;9,170529613;48,83227446
108;Zuffenhausen Rathaus;Zuffenhausen Rathaus;de:08111:108;8111000;Stuttgart;Stuttgart;S;20;"Bus;Stadtbahn;Nachtbus;Ruftaxi";U15,401,N4,RT4;20015_,31401_,33004_,51004_;4;20,31,33,51;9,174691691;48,83058665
109;Zuffenhausen Friedhof;Zuffenhausen Friedhof;de:08111:109;8111000;Stuttgart;Stuttgart;S;20;Bus;401;31401_;1;31;9,181466632;48,83589958
110;Friedrichswahl;Friedrichswahl;de:08111:110;8111000;Stuttgart;Stuttgart;S;20;"Stadtbahn;Nachtbus";U7,U15,N4;20007_,20015_,33004_;3;20,33;9,17275861;48,82298209
111;Borsigstraße;Borsigstraße;de:08111:111;8111000;Stuttgart;Stuttgart;S;20;"Nachtbus;Stadtbahn";U7,U15,N4;20007_,20015_,33004_;3;20,33;9,175483302;48,81939003
112;Sieglestraße;Sieglestraße;de:08111:112;8111000;Stuttgart;Stuttgart;S;20;"Stadtbahn;Nachtbus";U7,U15,N4;20007_,20015_,33004_;3;20,33;9,177567801;48,81584386
114;Sonatenweg;Sonatenweg;de:08111:114;8111000;Stuttgart;Stuttgart;S;20,34;Bus;412;31412_;1;31;9,164757293;48,84970991
115;Eckartshaldenweg;Eckartshaldenweg;de:08111:115;8111000;Stuttgart;Stuttgart;S;10;Stadtbahn;U5,U6,U7,U15,U17;20005_,20006_,20007_,20015_,20017_;5;20;9,182513132;48,79786044
123;Stafflenbergstraße;Stafflenbergstraße;de:08111:123;8111000;Stuttgart;Stuttgart;S;10;"Stadtbahn;Nachtbus";U7,U15,N7;20007_,20015_,33007_;3;20,33;9,191928011;48,77540017
