Nummer;Bereich;Steig;Steigname;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
3517;1;;Bus;Erdmannhausen Waage;de:08118:3517:1;8118014;Erdmannhausen;Erdmannhausen;LB;44,55;Nachtbus;N40;N40;34040_;1;34;9,292216577;48,94180655
2;0;3;Rtg Hegel-Gymnasium/Pestalozzi-Schule;Waldburgstraﬂe;de:08111:2:0:3;8111000;Stuttgart;Stuttgart;S;20;"Bus;Nachtbus";81,82,86,N10;81,82,86,N10;30081_,30082_,30086_,33010_;4;30,33;9,10741297;48,72545858
2;0;4;Rtg Vaihingen Bahnhof;Waldburgstraﬂe;de:08111:2:0:4;8111000;Stuttgart;Stuttgart;S;20;Bus;81,82,86;81,82,86;30081_,30082_,30086_;3;30;9,10741297;48,72545858
4615;2;;Bus Leipzig.;Sindelfingen Leipziger Str.;de:08115:4615:2;8115045;Sindelfingen;Sindelfingen;BB;47,48;Bus;709;709;31709_;1;31;9,01913636;48,69824234
5677;2;;NBus;Groﬂsachsenheim Hauptstr.;de:08118:5677:2;8118076;Sachsenheim;Groﬂsachsenheim;LB;55,56,65,66;Nachtbus;N52,N56;N52,N56;34052_,34056_;2;34;9,066008675;48,95928892
5393;2;;Bus Stett/Str¸mpf;Endersbach Ortsmitte;de:08119:5393:2;8119091;Weinstadt;Endersbach;WN;42;Bus;206;206;31206_;1;31;9,366271991;48,81329355
322;3;;NBus;Kursaal;de:08111:322:3;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N5;N5;33005_;1;33;9,221224013;48,8101659
5;1;1;Rtg Vaihingen Schillerplatz;Fauststraﬂe;de:08111:5:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,115120839;48,73192566
5;1;2;Rtg Vaihingen Viadukt;Fauststraﬂe;de:08111:5:1:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,115147944;48,73188967
5;3;5;NBus Rtg ausw‰rts;Fauststraﬂe;de:08111:5:3:5;8111000;Stuttgart;Stuttgart;S;20;Nachtbus;N10;N10;33010_;1;33;9,114658737;48,7319621
6;1;1;Rtg Fauststr.;Vaihingen Viadukt;de:08111:6:1:1;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,118699114;48,73325289
6;1;2;Rtg Engelboldstr.;Vaihingen Viadukt;de:08111:6:1:2;8111000;Stuttgart;Stuttgart;S;20;Stadtbahn;U1;U1;20001_;1;20;9,118753448;48,73323485
