#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Waldburgstraße;Waldburgstraße;2;de:08111:2;08111000;Stuttgart;Stuttgart;S;1;"Bus;Nachtbus";81,82,86,N10;30081_,30082_,30086_,33010_;4;30,33;9,107399378;48,72545873
Fauststraße;Fauststraße;5;de:08111:5;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U14,N10;20014_,33010_;2;20,33;9,115134391;48,7319078
Vaihingen Viadukt;Vaihingen Viadukt;6;de:08111:6;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U14;20014_;1;20;9,118712708;48,73325301
Engelboldstraße;Engelboldstraße;8;de:08111:8;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U14,N10;20014_,33010_;2;20,33;9,128062473;48,73743343
Südheimer Platz;Südheimer Platz;13;de:08111:13;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Seilbahn;Stadtbahn";U1,U14,20,N1;20001_,20014_,21020_,33001_;4;20,21,33;9,143629502;48,75664079
Bihlplatz;Bihlplatz;15;de:08111:15;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U14;20001_,20014_;2;20;9,151418363;48,75977812
Neckartor;Neckartor;25;de:08111:25;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U2,U4,U9,U14,N4,N6;20001_,20002_,20004_,20009_,20014_,33004_,33006_;7;20,33;9,190186367;48,78613109
Stöckach;Stöckach;26;de:08111:26;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U2,U4,U9,U14,N4,N6;20001_,20002_,20004_,20009_,20014_,33004_,33006_;7;20,33;9,194973965;48,78898264
Metzstraße;Metzstraße;27;de:08111:27;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U2,U14;20001_,20002_,20014_;3;20;9,200539444;48,7922283
Mineralbäder;Mineralbäder;28;de:08111:28;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U2,U14;20001_,20002_,20014_;3;20;9,205730513;48,79693111
Mercedesstraße;Mercedesstraße;30;de:08111:30;08111000;Stuttgart;Stuttgart;S;1;Stadtbahn;U1,U2,U13,U16;20001_,20002_,20013_,20016_;4;20;9,211732428;48,80000459
Uff-Kirchhof;Uff-Kirchhof;32;de:08111:32;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U13,U16,N6;20001_,20013_,20016_,33006_;4;20,33;9,225884225;48,80499538
Augsburger Platz;Augsburger Platz;33;de:08111:33;08111000;Stuttgart;Stuttgart;S;1;"Nachtbus;Stadtbahn";U1,U16,N6;20001_,20016_,33006_;3;20,33;9,230829988;48,80588479
