Name;Name mit Ort;Steigname;Nummer;Bereich;Steig;Globale ID;Landkreis;GKZ;Gemeinde;Teilort;Tarifzonen;Betriebszweige;Verkehrsmittel;Linien (DIVA);Linien (EFA);Anzahl Linien;X-Koordinate;Y-Koordinate;Sitzmöglichkeit vorhanden?;Wetterschutz vorhanden?;Breite des Bahn/Bussteigs [cm];Höhe über Straße/Schienenoberkante [cm];Höhe der zweiten Ebene über Straße/Schienenoberkante [cm];Stufe Straße zu Einstiegsposition [cm];Bodenindikatoren als Leitstreifen (taktil)
Waldburgstraße;Waldburgstraße;Rtg Hegel-Gymnasium/Pestalozzi-Schule;2;0;3;de:08111:2:0:3;S;08111000;Stuttgart;Stuttgart;1;30,33;"Bus;Nachtbus";30081_,30082_,30086_,33010_;81,82,86,N10;4;9,10741297;48,72545871;Ja;Ja;250;15;;Ebenerdig;Nein
Waldburgstraße;Waldburgstraße;Rtg Vaihingen ZOB;2;0;4;de:08111:2:0:4;S;08111000;Stuttgart;Stuttgart;1;30;Bus;30081_,30082_,30086_;81,82,86;3;9,10741297;48,72545871;Ja;Ja;250;15;;Ebenerdig;Nein
Fauststraße;Fauststraße;Rtg Vaihingen Schillerplatz;5;1;1;de:08111:5:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,115120839;48,73192579;;;250;100;;Keine Angabe;Ja
Fauststraße;Fauststraße;Rtg Vaihingen Viadukt;5;2;2;de:08111:5:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,115147944;48,7318898;;;250;100;;Keine Angabe;Ja
Fauststraße;Fauststraße;NBus Rtg auswärts;5;3;5;de:08111:5:3:5;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33010_;N10;1;9,114658737;48,73196223;Nein;Nein;150;15;;Stufenhöhe;Nein
Vaihingen Viadukt;Vaihingen Viadukt;Rtg Fauststr.;6;3;1;de:08111:6:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,118699114;48,73325303;;;250;100;;Keine Angabe;Ja
Vaihingen Viadukt;Vaihingen Viadukt;Rtg Engelboldstr.;6;1;2;de:08111:6:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,118753448;48,73323499;;;250;100;;Keine Angabe;Ja
Engelboldstraße;Engelboldstraße;Rtg Vaihingen Viadukt;8;1;1;de:08111:8:1:1;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,127802861;48,73692115;;;250;100;;Keine Angabe;Ja
Engelboldstraße;Engelboldstraße;Rtg Kaltental;8;1;2;de:08111:8:1:2;S;08111000;Stuttgart;Stuttgart;1;20;Stadtbahn;20014_;U14;1;9,128240037;48,73775696;;;250;100;;Keine Angabe;Ja
Engelboldstraße;Engelboldstraße;NBus Rtg auswärts;8;3;5;de:08111:8:3:5;S;08111000;Stuttgart;Stuttgart;1;33;Nachtbus;33010_;N10;1;9,127899172;48,73737066;Nein;Nein;150;15;;Stufenhöhe;Nein
