Nummer,Name,Name mit Ort
5000002,Waldburgstraße,Waldburgstraße
5000005,Fauststraße,Fauststraße
5000006,Vaihingen Viadukt,Vaihingen Viadukt
5000008,Engelboldstraße,Engelboldstraße
5000013,Südheimer Platz,Südheimer Platz
5000015,Bihlplatz,Bihlplatz
5000025,Neckartor,Neckartor
5000026,Stöckach,Stöckach
5000027,Metzstraße,Metzstraße
5000028,Mineralbäder,Mineralbäder
5000030,Mercedesstraße,Mercedesstraße
5000032,Uff-Kirchhof,Uff-Kirchhof
5000033,Augsburger Platz,Augsburger Platz
5000034,Nürnberger Straße,Nürnberger Straße
5000035,Antwerpener Straße,Antwerpener Straße
5000036,Beskidenstraße,Beskidenstraße
5000037,Höhenstraße,Fellbach Höhenstraße
5000038,Esslinger Straße,Fellbach Esslinger Straße
5000039,Schwabenlandhalle,Fellbach Schwabenlandhalle
5000043,Heslach Vogelrain,Heslach Vogelrain
5000055,Berliner Platz (Hohe Straße),Berliner Platz (Hohe Straße)
5000076,Karl-Olga-Krankenhaus,Karl-Olga-Krankenhaus
5000077,Bergfriedhof,Bergfriedhof
5000078,Ostheim Leo-Vetter-Bad,Ostheim Leo-Vetter-Bad
5000079,Gaisburg,Gaisburg
5000080,Wangener-/Landhausstraße,Wangener-/Landhausstraße
5000081,Brendle (Großmarkt),Brendle (Großmarkt)
5000082,Im Degen,Im Degen
5000083,Inselstraße,Inselstraße
5000084,Wasenstraße,Wasenstraße
5000086,Großglocknerstraße,Großglocknerstraße
5000087,Neckarhalde,Neckarhalde
5000089,Ebniseestraße,Ebniseestraße
5000090,Bergstaffelstraße,Bergstaffelstraße
5000094,Wollinstraße,Wollinstraße
5000095,Neuwirtshauskreuzung,Neuwirtshauskreuzung
5000096,Niebuhrweg,Niebuhrweg
5000097,Marco-Polo-Weg,Marco-Polo-Weg
5000100,Stammheim,Stammheim
5000102,Korntaler Straße,Korntaler Straße
5000103,Heutingsheimer Straße,Heutingsheimer Straße
5000104,Wimpfener Straße,Wimpfener Straße
5000105,Kornwestheimer Straße,Kornwestheimer Straße
5000106,Zahn-Nopper-Straße,Zahn-Nopper-Straße
5000107,Kirchtalstraße,Kirchtalstraße
5000108,Zuffenhausen Rathaus,Zuffenhausen Rathaus
5000109,Zuffenhausen Friedhof,Zuffenhausen Friedhof
5000110,Friedrichswahl,Friedrichswahl
5000111,Borsigstraße,Borsigstraße
5000112,Sieglestraße,Sieglestraße
5000114,Sonatenweg,Sonatenweg
5000115,Eckartshaldenweg,Eckartshaldenweg
5000123,Stafflenbergstraße,Stafflenbergstraße
5000124,Bubenbad,Bubenbad
5000125,Payerstraße,Payerstraße
5000126,Geroksruhe,Geroksruhe
5000129,Silberwald,Silberwald
5000130,Waldau,Waldau
5000136,Heumaden,Heumaden
5000137,Isegrimweg,Isegrimweg
5000141,Siedlung,Gerlingen Siedlung
5000142,Rossbaum,Gerlingen Rossbaum
5000143,Breitwiesen,Gerlingen Breitwiesen
5000144,Giebel,Giebel
5000145,Salamanderweg,Salamanderweg
5000146,Bergheimer Hof,Bergheimer Hof
5000147,Wolfbusch,Wolfbusch
5000148,Rastatter Straße,Rastatter Straße
5000149,Goethestraße,Gerlingen Goethestraße
5000150,Mathildenstraße,Mathildenstraße
5000151,Landauer Straße,Landauer Straße
5000152,Feuerbach Pfostenwäldle,Feuerbach Pfostenwäldle
5000153,Sportpark Feuerbach,Sportpark Feuerbach
5000154,Föhrich,Föhrich
5000156,Leobener Straße,Leobener Straße
5000158,Maybachstraße,Maybachstraße
5000159,Dobelstraße,Dobelstraße
5000161,Neue Weinsteige 61,Neue Weinsteige 61
5000162,Altenbergstaffel,Altenbergstaffel
5000163,Weinsteige,Weinsteige
5000164,Karl-Pfaff-Straße,Karl-Pfaff-Straße
5000165,Haigst,Haigst
5000170,Vaihinger Straße,Vaihinger Straße
5000174,Unteraichen,Leinf. Unteraichen
5000175,Leinfelden,Leinfelden
5000183,Rohrer Weg,Rohrer Weg
5000190,Raiffeisenstraße,Grötzingen Raiffeisenstraße
5000211,Millöckerstraße,Millöckerstraße
5000212,Beethovenstraße,Beethovenstraße
5000215,Wielandstraße,Wielandstraße
5000216,Herderplatz,Herderplatz
5000217,Vogelsang,Vogelsang
5000218,Arndt-/Spittastraße,Arndt-/Spittastraße
5000222,Raitelsberg,Raitelsberg
5000225,Wangen Marktplatz,Wangen Marktplatz
5000226,Hedelfinger Straße,Hedelfinger Straße
5000227,Hedelfingen,Hedelfingen
5000229,Börsenplatz,Börsenplatz
5000254,Wilhelma,Wilhelma
5000262,Rosensteinpark,Rosensteinpark
5000263,Glockenstraße,Glockenstraße
5000264,Kienbachstraße,Kienbachstraße
5000265,Blick,Blick
5000267,Eszet,Eszet
5000268,Schlotterbeckstraße,Schlotterbeckstraße
5000271,Auwiesen,Auwiesen
5000272,Hofen,Hofen
5000274,Wagrainäcker,Wagrainäcker
5000275,Elbestraße,Elbestraße
5000276,Freibergstraße,Freibergstraße
5000277,Münster Rathaus,Münster Rathaus
5000278,Münster Viadukt,Münster Viadukt
5000279,Weserstraße,Weserstraße
5000280,Kraftwerk Münster,Kraftwerk Münster
5000281,Mühlsteg,Mühlsteg
5000288,Suttnerstraße,Suttnerstraße
5000289,Himmelsleiter,Himmelsleiter
5000296,Mittnachtstraße,Mittnachtstraße
5000297,Milchhof,Milchhof
5000298,Pragfriedhof,Pragfriedhof
5000303,Friedhofstraße,Friedhofstraße
5000306,Tal-/Ostendstraße,Tal-/Ostendstraße
5000309,Karlstraße,Musberg Karlstraße
5000310,Friedhof,Musberg Friedhof
5000316,Filderbahnstraße,Filderbahnstraße
5000318,Elsterstaffel,Elsterstaffel
5000319,Losäcker,Losäcker
5000320,Laichlestraße,Gerlingen Laichlestr.
5000321,Gnesener Straße,Gnesener Straße
5000322,Kursaal,Kursaal
5000323,Daimlerplatz,Daimlerplatz
5000341,Nägelestraße,Nägelestraße
5000342,Wielandshöhe,Wielandshöhe
5000343,Pfaffenweg,Pfaffenweg
5000344,Liststraße,Liststraße
5000350,SSB-Zentrum,SSB-Zentrum
5000353,Plieninger Straße,Plieninger Straße
5000354,Sigmaringer Straße,Sigmaringer Straße
5000355,Wallgraben,Wallgraben
5000356,Jurastraße,Jurastraße
5000360,Salzäcker,Salzäcker
5000361,Freytagweg,Freytagweg
5000363,Fasanenhof Schelmenwasen,Fasanenhof Schelmenwasen
5000364,Fasanenhof,Fasanenhof
5000370,Kelterstraße,Kelterstraße
5000371,Tunnelstraße,Tunnelstraße
5000372,Villastraße,Villastraße
5000373,Moselstraße,Stuttgart Moselstraße
5000374,Rembrandtstraße,Stuttgart Rembrandtstraße
5000375,Bieler Weg,Bieler Weg
5000376,Ulmenstraße,Ulmenstraße
5000501,Ortsmitte,Ortsmitte
5000502,Alte Stuttgarter-/Nöllenstr.,Alte Stuttgarter-/Nöllenstr.
5000503,Nöllenstr./Leo-Fall-Weg,Nöllenstr./Leo-Fall-Weg
5000504,Am Buberlesbach/G.-Mahler-Str.,Am Buberlesbach/G.-Mahler-Str.
5000505,G.-Mahler-Str. (Wendeplatte),G.-Mahler-Str. (Wendeplatte)
5000506,Eltinger-/Kauffmannstr.,Eltinger-/Kauffmannstr.
5000507,Eltinger-/Sommerhaldenstr.,Eltinger-/Sommerhaldenstr.
5000508,Sommerhaldenstr. (Wendeplatte),Sommerhaldenstr. (Wendeplatte)
5000509,Kauffmann-/Belaustr.,Kauffmann-/Belaustr.
5000510,Belaustr. (Wendeplatte),Belaustr. (Wendeplatte)
5000511,Reger-/Schumannstr.,Reger-/Schumannstr.
5000512,Schumann-/Franz-Schubert-Str.,Schumann-/Franz-Schubert-Str.
5000513,F.-Schubert-/A. Stuttg. Str.,F.-Schubert-/A. Stuttg. Str.
5000514,A.-Stuttg.-/Vaihinger Landstr.,A.-Stuttg.-/Vaihinger Landstr.
5000515,Vaihinger Land-/Hummelbergstr.,Vaihinger Land-/Hummelbergstr.
5000516,Vaihinger Landstr./Brahmsweg,Vaihinger Landstr./Brahmsweg
5000518,Vaihinger Land-/Kullenbergstr.,Vaihinger Land-/Kullenbergstr.
5000519,Vaihinger Land-/Gluckstr.,Vaihinger Land-/Gluckstr.
5000520,Vaihinger Land-/Brucknerstr.,Vaihinger Land-/Brucknerstr.
5000522,Vaih. Landstr./Emma-Aberle-Weg,Vaih. Landstr./Emma-Aberle-Weg
5000523,Aspenwald-/Kullenbergstr.,Aspenwald-/Kullenbergstr.
5000524,Vaihinger Land-/Lortzingstr.,Vaihinger Land-/Lortzingstr.
5000525,Hummelberg-/Haydn-/Wengertstr.,Hummelberg-/Haydn-/Wengertstr.
5000526,Hummelb.-/Beeth.-/Klinglerstr.,Hummelb.-/Beeth.-/Klinglerstr.
5000527,Eltinger-/Regerstr.,Eltinger-/Regerstr.
5000528,Furtw.-/Verdi-/Offenbachstr.,Furtw.-/Verdi-/Offenbachstr.
5000529,Leharstr. (Wendeplatte),Leharstr. (Wendeplatte)
5000530,Verdi-/Donizettistr.,Verdi-/Donizettistr.
5000531,Donizetti-/Elt.st./Chopinstr.,Donizetti-/Elt.st./Chopinstr.
5000532,Chopinstr. (Wendeplatte),Chopinstr. (Wendeplatte)
5000533,Verdistr./Ob. Kirchhaldenweg,Verdistr./Ob. Kirchhaldenweg
5000534,Oberer -/Mittl. Kirchhaldenweg,Oberer -/Mittl. Kirchhaldenweg
5000535,Ob. Kirchh.-/Mittl.Bauernw.weg,Ob. Kirchh.-/Mittl.Bauernw.weg
5000536,Mittl.B.w.weg/B.wald-/P-L-str.,Mittl.B.w.weg/B.wald-/P-L-str.
5000538,Lortzingstr./Fleckenwaldweg,Lortzingstr./Fleckenwaldweg
5000539,Lortzing-/Brucknerstr.,Lortzing-/Brucknerstr.
5000540,Bruckner-/Lindpaintnerstr.,Bruckner-/Lindpaintnerstr.
5000541,Lindpaintnerstr. (Wendeplatte),Lindpaintnerstr. (Wendeplatte)
5000542,Auberlen-/Brahmsweg,Auberlen-/Brahmsweg
5001003,Höfingen,Höfingen
5001200,Zazenhausen,Zazenhausen
5001300,Sommerrain,Sommerrain
5001301,Malmsheim,Malmsheim
5001302,Rutesheim,Rutesheim
5001303,Weil der Stadt,Weil der Stadt
5001400,Bietigheim,Bietigheim
5001402,Kornwestheim,Kornwestheim
5001403,Neuwirtsh. (Porschep.),Neuwirtsh. (Porschep.)
5001500,Benningen (N),Benningen (N)
5001503,Freiberg (N),Freiberg (N)
5001504,Münster,Münster
5001601,Nellmersbach,Nellmersbach
5001602,Neustadt-Hohenacker,Neustadt-Hohenacker
5001603,Schwaikheim,Schwaikheim
5001604,Ebitzweg,Ebitzweg
5001701,Stetten-Beinstein,Stetten-Beinstein
5001702,Geradstetten,Geradstetten
5001703,Grunbach,Grunbach
5001704,Weiler (R),Weiler (R)
5001705,Winterbach,Winterbach
5001800,Altbach,Altbach
5001801,Mettingen,Mettingen
5001802,Oberesslingen,Oberesslingen
5001803,Zell,Zell
5001905,Filderstadt,Filderstadt
5001910,Ellental,Ellental
5001995,Obere Sulzwiesen,Altenriet Obere Sulzwiesen
5001997,Raiffeisenstraße,Bonlanden Raiffeisenstraße
5001998,Johanneskirche,Bernhausen Johanneskirche
5001999,Rosenstraße,Bernhausen Rosenstraße
5002000,Rudolfshöhe,Aich Rudolfshöhe
5002001,Ort,Aich Ort
5002003,Siedlung,Aich Siedlung
5002006,Bahnhof,Bernhausen Bahnhof
5002007,Stern,Aich Stern
5002008,Hauptstraße,Bernhausen Hauptstraße
5002009,Karlstraße,Bernhausen Karlstraße
5002012,Musikschule,Bernhausen Musikschule
5002015,Bonlandener Straße,Bonlanden Bonlandener Straße
5002016,Filderklinik,Bonlanden Filderklinik
5002017,Fildorado,Bonlanden Fildorado
5002018,Gutenhalde,Bonlanden Gutenhalde
